DateOfEndOfReportingPeriod,ProfitLossForThePeriod,BasicEarningsPerShareAfterExtraordinaryItems,NumberOfSharesOutstanding
31Dec2024,168914400000.0,18.93,8923106180
30Sep2024,183314400000.0,20.54,8924751703
30Jun2024,170351600000.0,19.09,8923603981
31Mar2024,206983500000.0,23.19,8925549805
31Dec2023,91639600000.0,10.27,8923037974
30Sep2023,143300200000.0,16.06,8922801992
30Jun2023,168842900000.0,18.92,8924043340
31Mar2023,183432500000.0,20.27,9049457326
31Dec2022,142053400000.0,15.92,8922952261
30Sep2022,132645200000.0,14.86,8926325706
31Mar2022,91135300000.0,10.21,8926082272
31Dec2021,84318800000.0,9.45,8922624338
30Sep2021,76265700000.0,8.55,8919964912
30Jun2021,65040000000.0,7.29,8921810699
31Mar2021,64507500000.0,7.23,8922199170
31Dec2020,51962200000.0,5.82,8928213058
30Sep2020,45741600000.0,5.13,8916491228
30Jun2020,41893400000.0,4.69,8932494669
31Mar2020,35808100000.0,4.01,8929700748
31Dec2019,55833600000.0,6.26,8919105431
30Jun2019,33837900000.0,3.31,10222930513
31Mar2019,8384000000.0,0.94,8919148936
31Dec2018,66187300000.0,4.43,14940699774
30Sep2018,9448700000.0,1.06,8913867924
30Jun2018,-60647200000.0,-4.74,12794767932
